ULAND;Jahr;Monat;Temperatur Mittelwert;Niederschlagmenge in Summe Liter pro qm;Sonnenscheindauer in Summe in Stunden
9;2016;1;0,4;100,1;51,1
9;2016;2;3,1;83,5;51,9
9;2016;3;3,5;47,7;105,5
9;2016;4;7,8;60,5;153
9;2016;5;12,7;109,5;194,9
9;2016;6;16,3;133,4;175,1
9;2016;7;18,4;110,2;216
9;2016;8;17,5;70,5;247,4
9;2016;9;15,9;71;216,8
9;2016;10;7,8;52,3;75,1
9;2016;11;3,1;70,5;62,1
9;2016;12;0,2;14,1;68,3
9;2017;1;-4,9;46,5;87,8
9;2017;2;2,4;41;89,8
9;2017;3;6,7;68,1;158,6
9;2017;4;7;72,4;144,3
9;2017;5;13,7;78,2;237,5
9;2017;6;18,2;85,4;273,8
9;2017;7;18,2;138;213,8
9;2017;8;18,2;113,2;232,7
9;2017;9;11,6;75,3;115,5
9;2017;10;10;77,7;114,4
9;2017;11;3,8;86,5;41,3
9;2017;12;0,9;85,8;39,8
9;2018;1;3,1;115,7;43,4
9;2018;2;-3;28,7;96,8
9;2018;3;2,2;47,6;108,6
9;2018;4;12,5;25,9;252,9
9;2018;5;15,7;77;253,4
9;2018;6;17,4;81,7;225,7
9;2018;7;19,5;60,8;291,9
9;2018;8;19,9;58,9;262
9;2018;9;14,6;67,8;219,6
9;2018;10;10,1;38,4;169,1
9;2018;11;4,3;20,8;75,3
9;2018;12;2,3;133,9;27,4
9;2019;1;-1;105,3;43,1
9;2019;2;2;35,3;143,5
9;2019;3;5,9;72,1;144,3
9;2019;4;9,4;32,1;216,2
9;2019;5;10,2;130,8;160,5
9;2019;6;19,6;53,4;310,5
9;2019;7;19;82,2;255,9
9;2019;8;18,4;95,1;220,6
9;2019;9;13,5;61,3;175,2
9;2019;10;10,2;81,3;119,1
9;2019;11;4,4;50,8;44,2
9;2019;12;2,3;60,9;71,9
9;2020;1;1,4;31,7;77,9
9;2020;2;4,3;130,9;84,8
9;2020;3;4,6;50,1;176,6
9;2020;4;10,3;25,3;296,4
9;2020;5;11,6;58,5;221,8
9;2020;6;15,8;146;194,4
9;2020;7;18,1;71;275,6
9;2020;8;18,9;132,2;225,5
9;2020;9;14,4;62,4;209,8
9;2020;10;8,9;81;75,2
9;2020;11;4,3;21,2;92,1
9;2020;12;1,3;50,7;37,4
9;2021;1;-0,7;85,8;38,7
9;2021;2;1,4;49,9;125,6
9;2021;3;3,8;44,7;160,2
9;2021;4;5,8;32;194,8
9;2021;5;10,1;127,9;167,3
9;2021;6;18,6;127,7;274,6
9;2021;7;17,6;149;209
9;2021;8;15,9;139,4;162,2
9;2021;9;14,6;37,9;211,8
9;2021;10;8,1;32,6;143,7
9;2021;11;3;52;47,7
9;2021;12;1,7;84,1;43,9
8;2016;1;1,8;123,1;57
8;2016;2;3,4;95,2;48,1
8;2016;3;3,7;55,9;113,4
8;2016;4;7,8;100,4;134,9
8;2016;5;12,6;121,1;186,5
8;2016;6;16,3;148,9;163,6
8;2016;7;18,8;71,1;235,9
8;2016;8;18,1;51,1;252,3
8;2016;9;16,2;41,8;213
8;2016;10;8,1;63;88
8;2016;11;3,9;77,2;56,9
8;2016;12;0,7;6,1;95,2
8;2017;1;-3,6;43,5;82,9
8;2017;2;3,4;46,8;87,1
8;2017;3;7,4;67,7;177,4
8;2017;4;7,5;57,7;178,2
8;2017;5;13,9;83;228,1
8;2017;6;18,6;81,1;277,1
8;2017;7;18,6;134,1;214,5
8;2017;8;18,4;97,7;219,2
8;2017;9;12,3;67,1;134,6
8;2017;10;10,4;65,2;132,3
8;2017;11;4,3;119,2;44,7
8;2017;12;1,7;94;38,7
8;2018;1;4,3;157,8;41
8;2018;2;-2,1;35,6;90,7
8;2018;3;3,2;46,2;104,9
8;2018;4;12,5;27,8;246,6
8;2018;5;15,2;95,4;227,5
8;2018;6;17,7;61,9;247,3
8;2018;7;20,1;50,7;290,7
8;2018;8;20;52,1;251,1
8;2018;9;15,2;49;234,8
8;2018;10;10,3;31,7;168,7
8;2018;11;4,9;21;84,1
8;2019;12;3,2;136;33,7
8;2019;1;-0,3;95,6;32,6
8;2019;2;3,4;26,1;161,2
8;2019;3;6,4;84,8;157,3
8;2019;4;9;49,5;175,4
8;2019;5;10,4;121,3;173,6
8;2019;6;19;77,8;295
8;2019;7;19,4;76;277,1
8;2019;8;18,5;91,2;237,3
8;2019;9;14;58,9;187,5
8;2019;10;10,9;105;108,8
8;2019;11;4,6;64,3;48,4
8;2019;12;3;82,3;78,2
8;2020;1;2,5;33,9;88
8;2020;2;5,2;156,2;94,8
8;2020;3;5,2;64,6;182,1
8;2020;4;11,2;14,2;297,7
8;2020;5;12,4;53;252,1
8;2020;6;16;102,5;194,2
8;2020;7;18,8;38,8;294,5
8;2020;8;19,4;113,2;221,9
8;2020;9;15,1;49,3;208,7
8;2020;10;9,4;85,3;74,7
8;2020;11;5,4;27,9;109,4
8;2020;12;2,4;77,1;32,1
8;2021;1;0,2;115,7;37,4
8;2021;2;3;56;128,1
8;2021;3;4,5;54;169,1
8;2021;4;6,2;31,5;202,3
8;2021;5;10,1;124,1;169,3
8;2021;6;18,6;160,5;252,3
8;2021;7;17,6;143,3;208,4
8;2021;8;16,2;85,9;164,5
8;2021;9;15;31,3;223,3
8;2021;10;8,7;49,2;150
8;2021;11;3,2;39,2;53,7
8;2021;12;2,8;90,1;46,9
12;2016;1;-0,4;41,2;49,6
12;2016;2;3,7;47;66,2
12;2016;3;4,4;29,5;97,5
12;2016;4;8,4;29,5;176,1
